General Information,,,,,,,,,,,Solar Power Information,,,,,,,,,Detection Distance,,,,,,,,,,,,,,,,Tuning,,,,Notes,
,,,,,,,Supply Voltage,,Data Downloads,,,,,,,,,,,32mm RR (ft),,,,32mm Center (ft),,,,12mm RR (ft),,,,12mm Center (ft),,Tuning,,,,,,,
Site,Date,Initials,Stage (ft),Time,Debris,Weather,Supply Voltage Downstream,Supply Voltage Upstream,Data Downloads Downstream,Data Downloads Upstream,Solar Voltage (V),Solar Current (A),Solar Input (KwH),Battery Voltage (V),Battery Capacity (percent),Load Current (A),Load Draw (KwH),Operating Temp (C),Load Mode,32mm RR (ft) DS Initial,32mm RR (ft) US Initial,32mm RR (ft) DS Final,32mm RR (ft) US Final,32mm Center (ft) DS Initial,32mm Center (ft) US Initial,32mm Center (ft) DS Final,32mm Center (ft) US Final,12mm RR (ft) DS Initial,12mm RR (ft) US Initial,12mm RR (ft) DS Final,12mm RR (ft) US Final,12mm Center (ft) DS Initial,12mm Center (ft) US Initial,12mm Center (ft) DS Final,12mm Center (ft) US Final,Tuning DS Initial,Tuning US Initial,Tuning DS Final,Tuning US Final,Notes,
Hitching Post,3/7/2023,"MK, BH",ICE,13:15,Ice/snow,"Sunny, cold",14.6,13.6,CR_HP_A3_20230307,CR_HP_A4_20230307,23.6,3.9,434.2,13.9,100,1.5,388.7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No snow/ice on solar panels. Downstream antenna might have ghost tag,
Hitching Post,4/4/2023,"BH, SI",0.5,13:40,"algae, branches",Snow Storm ,13.2,12.8,CR_HP_A3_20230404,CR_HP_A4_20230404,13.2,3.2,449.4,12.9,85,1.4,401.7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High winds and snow, didn't do detection distances. Antennas look good ",
Hitching Post,5/4/2023,"BH, SI",1.92,11:30,can't see,"cloudy, drizzly",13.6,13.2,CR_HP_A3_20230504,CR_HP_A4_20230504,13.6,1.7,465.3,13.3,100,1.2,415.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very high flows, 1600 cfs this morning. Too deep/fast to do detection distances, but was able to detect tags.",
Hitching Post,5/18/2023,"SI, ER, BH",1.94,11:30,log/tree on downstream,cloudy,13.9,13.7,CR_HP_A3_20230518,CR_HP_A4_20230518,23.1,1.7,471.2,13.8,100,0.8,419.7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Downstream antenna is detecting but very inconsistenyl and only while touching with tag. ,
Hitching Post,6/6/2023,"ER, MK, EF, SI",1.45,9:00,tree on downstream,sunny,13.2,13.2,CR_HP_A3_20230606,CR_HP_A4_20230606,13.4,1.6,477,13.1,93,0.6,423.8,25,15,Touching,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,out,out,ok,better,"Repaired HP3 connection to tuning box, continuous detection (23000142772) on hp3 after repair. Checked the next day and was still detecting, potential ghost tag. New fishing rod test tag;230000087401.",
Hitching Post,6/23/2023,"SI,ER",submerged,13:28,Tree/log still there,sunny,14.1,13.9,CR_HP_A3_20230623,CR_HP_A4_20230623,22.4,4.2,486.9,13.7,100,1.7,432.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ghost tag (?) off on downstream tree is still there. Reparied antenna looks good and detecting fish and marker tag. 10 casts; RB-LB: 1nn,2nn,3nn,4un,5nn,6nn,7nn,8nn,9un,10nd. Upstream:2/10. downstream:3/10.",
Hitching Post,7/27/2023,"SI, MM, ER, MK",0.62,11:42,Tree,Sunny,13.9,14.1,CR_CF_A3_20230727,CR_CF_A4_20230727,22.2,4,502.9,14.7,100,1.5,446.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Removed tree on HP3, the ? got pulled through, HP3 needs to be replaced, HP4 has ghost tag.",
Hitching Post,8/1/2023,"SI, MM",NA,11:55,NA,sunny,NA,NA,NA,NA,21.8,2,504.9,13.8,100,0.8,447.5,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HP3 Antenna is broken. HP4 reader box died after pulling ghost tag off. HP4 bos is no longer receiving power. Temperorary solution; switched antenna hp4 with reader box HP3. is this okay? Bringing reader box home. ,
Hitching Post,8/29/2023,"MK, MM",0.73,14:28,None,Sunny,NA,14.1,NA,CR_HP_A4_20230829,21.5,1.8,515.3,13.8,100,0.9,455.7,25,15,0.2,1.2,NA,NA,0.25,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed debris from antenna. Photo taken of PC screen showing supply voltage. ,
Hitching Post,9/19/2023,SI,0.54,9:20,None,Foggy,NA,14.6,NA,CR_HP_A4_20230919,14.8,2.5,522.6,14.5,100,0.2,461.7,25,15,1.35,0.8,1.35,0.9,1.35,0.7,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May need to reset pressure transducer. Downloading HP4 (HP3 reader) before putting new antennas in. ,
Hitching Post,10/3/2023,"SI, MM",0.5,17:12,None,Cloudy,12.2,11.8,CR_HP_A3_20231003,CR_HP_A4_20231003,14.2,0.9,522.6,12.2,49,1.1,466.8,25,15,1.1,0.9,NA,NA,1,0.9,NA,NA,0.1,Touching,NA,NA,Touching,Touching,NA,NA,ok,ok,NA,NA,Disconnect off for two weeks. Battery was 49%,
Hitching Post,10/18/2023,"ER, EF, SI",0.47,10:50,NA,Mostly sunny,NA,NA,CR_HP_A3_20231018,CR_HP_A4_20231018,19.1,3.1,534.1,14.3,100,0.7,472.6,25,15,1.5,1.1,NA,NA,1.55,1.2,NA,NA,0.25,0.3,NA,NA,0.15,0.2,NA,NA,ok,ok,NA,NA,Tunned both antenna prior to detection distance. Downloaded PTs.,
Hitching Post,10/31/2023,"SI, CB",0.57,12:20,None,"Cold, Sunny",NA,NA,CR_HP_A3_20231031,CR_CF_A4_20231031,23.9,8.2,540.2,14.2,100,1.6,4479.1,25,15,1.45,1.05,NA,NA,1.55,1.3,NA,NA,0.3,0.15,NA,NA,0.45,0.25,NA,NA,ok,ok,NA,NA,,
Hitching Post,11/28/2023,"MM, SI",0.65,11:28,Ice,Sunny,14.9,13.9,CR_HP_A3_20231128,CR_HP_A4_20231128,19.5,7.4,555.5,14.5,100,1.7,493.4,25,15,1.35,1.2,NA,NA,NA,NA,NA,NA,0.35,0.1,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,Cannot conduct dietection distances in center channesl due to river ice.,
Hitching Post,1/4/2024,"MM, MK",ICE,10:45,NA,partly cloudy,14.2,14.1,CR_HP_A3_20240104,CR_HP_A4_20240104,19.7,6.9,572.9,14.4,100,1.8,510.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River iced over completely. ,
Hitching Post,1/30/2024,"ER, EA",ICE,11:33,snow,clear and cold,14.5,13.8,CR_HP_A3_20240130,CR_HP_A4_20240130,16.7,16.3,581.7,14.7,100,1.6,521,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could not detect tags. SD card not replaced.,
Hitching Post,3/5/2024,"MK, SG",ICE,1:20,snow,cloudy,12.4,12.7,CR_HP_A3_20240305,CR_HP_A4_20240305,12.8,0.5,599.6,12.4,64,1.2,535.3,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On DTY code for HP4 gives ""bad year"" but date and time are correct (2024-03-05 - 14:31:30). Swept snow off panels.",
Red Barn,8/12/2020,"ER, MR",1.2,10:20,none,"sunny, warm",NA,NA,CR_RB_A1_20200812,CR_RB_A2_20200812,22,5.6,5.1,14.3,100,2.8,7,25,15,1.5,1.85,NA,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In Tune,In Tune,Same,Same,Antennas were in tune upon arrival and were not tuned. Timestamp is wrong on A1 but A2 is correct. Reset date/time on A1 with GPS but A2 was then incorrect. Reset date/time on A2 manually.,
Red Barn,8/20/2020,"MR, SG",1.2,11:10,none,sunny  ,NA,NA,CR_RB_A1_20200820,CR_RB_A2_20200820,21.9,3.8,10.3,13.7,100,3.1,14.5,25,15,1,1.9,1.45,1.9,1.5,1.85,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,In Tune,In Tune,Same,Same,"RB1 DT OK. Lat Long not recording. RB2 DT OK. Lat Long not recording. Detections ""Final"" after firmware update and switching RB2 to Host. RB1 lost ability to get GPS signal without being hooked by usb as node. Both firmware update to V1.8",
Red Barn,9/2/2020,"MR, MK, SG",1.16,16:00,none,"sunny, clear",13.5,13.6,CR_RB_A1_20200902,CR_RB_A2_20200902,22.4,3.3,18.3,13.8,100,3.1,26.6,25,15,1.95,1.85,NA,NA,1.9,1.8,NA,NA,0.4,0.35,NA,NA,0.4,0.35,NA,NA,Not Tuned,In Tune,"""OK""",Same,"US- Date/time ok, all marker tags reading every15 min. No Lat Long. DS- Date/time ok, marker tags reading every 15 min, No Lat Long. ORSR01 switched to ORSR07 (backup). Both readers have their own GPS, A1 has USB to ""out"" (host), A2 has USB to ""in"" (node). Both say ""Host"" on HyperTermianl. ORSO7 has firmware update V1.8.",
Red Barn,9/30/2020,MR,1,10:05,none,sunny,14,13.5,CR_RB_A1_20200930,CR_RB_A2_20200930,19,6.6,37.5,14.3,100,3.3,54.7,25,15,2,1.8,NA,NA,1.95,1.75,NA,NA,0.4,0.35,NA,NA,0.4,0.3,NA,NA,OK,OK,Same,Same,"A1 and A2, Date, Time and Marker tags ok. No Lat Long",
Red Barn,10/6/2020,MR,1.1,15:50,none,sunny,14.2,13.6,CR_RB_A1_20201006,CR_RB_A2_20201006,18.4,4,41.9,13.7,100,3.2,60.9,25,15,1.95,1.85,NA,NA,2,1.9,NA,NA,0.45,0.35,NA,NA,0.4,0.3,NA,NA,OK,OK,Same,Same,"4pm A1 and A2 date, time and marker tags ok, No Lat Long",
Red Barn,10/8/2020,MR,1,9:00,none,"sunny, hazy",15.1,14.3,CR_RB_A1_20201008,CR_RB_A2_20201008,19.5,8.9,42.8,14.7,100,3.1,62.5,25,15,1.95,1.9,NA,NA,1.9,1.9,NA,NA,0.4,0.4,NA,NA,0.4,0.35,NA,NA,OK,OK,Same,Same,"A1 and A2, Date, Time and Marker tags ok. No Lat Long",
Red Barn,10/21/2020,MR,1.1,16:30,none,sunny,13.8,14.1,CR_RB_A1_20201021,CR_RB_A2_20201021,18.7,4.2,51.9,13.9,100,2.9,75.6,25,15,1.55,1.85,NA,NA,1.45,1.8,NA,NA,0.35,0.35,NA,NA,0.35,0.3,NA,NA,OK,OK,Same,Same,Had to scare a fish off Ant 1,
Red Barn,11/4/2020,"MR, SG",1.1,10:15,none,sunny,14.8,13.6,CR_RB_A1_20201104,CR_RB_A2_20201104,23,6.9,59.7,14.6,100,3.2,88.4,25,15,NA,2,NA,NA,NA,2,NA,NA,NA,0.3,NA,NA,NA,0.3,NA,NA,NA,OK,NA,Aame,A1- Cannot get tag number __228791 off the antenna. Computer went to sleep during download but the download completed but this somehow changed the date. Could not do detections on A1 because the tag. Removed Lat and Long from download file.,
Red Barn,12/3/2020,"MR, SG",ICE,13:20,ICE,sunny,13.7,13.9,CR_RB_A1_20201203,CR_RB_A2_20201203,18.9,4.8,77.8,13.8,100,3.1,116,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1 and A2, Date, Time OK. Both readers when on when arriving. Turned off at 11am",
Red Barn,12/10/2020,"MR, SG",ICE,10:20,ICE,overcast,13.8,13.5,CR_RB_A1_20201210,CR_RB_A2_20201210,13.6,4.4,81.7,13.3,100,3,122.4,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1 and A2, date and time OK. Tag ___791 still on antenna 1. After firmware ""noise"" light was on Reader 1, tunred off and on again and it fixed it. Firmware 1.86 updated. ",
Red Barn,1/5/2021,"MR, SG",ICE,13:00,ICE,snowing,13.2,12.4,CR_RB_A1_20210105,CR_RB_A2_20210105,12.8,0.8,93.2,12.5,67,2.6,144.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solar panels covered with one inch of snow, removed before leaving site",
Red Barn,2/2/2021,"SG, MR",ICE,11:40,ICE,cloudy ,13.9,13.9,CR_RB_A1_20210202,CR_RB_A2_20210202,14.2,3.8,109.6,13.9,100,2.7,167.7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both readers upon arrival. A1 dd not register any new detections since last visit, including ghost tag and marker tag",
Red Barn,3/2/2021,"SG, MR",ICE,11:50,ICE,"Ice, snow",14.5,13.8,CR_RB_A1_20210302,CR_RB_A2_20210302,22.8,3.3,123.2,13.7,100,2.7,190.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Red Barn,4/6/2021,"SG, MR",1.46,10:40,none,"sunny, clear, no ice",14.3,13.9,CR_RB_A1_20210406,CR_RB_A2_20210406,23.2,4.3,142.3,13.9,100,2.8,220,25,15,1.25,0.8,1.35,2,1.25,1.2,1.3,1.8,0.2,touching,0.2,0.3,0.25,touching,0.2,0.4,OK,Out,Ok,OK,readers off to find ghost tag at 10:47AM downloaded pressure transducers. RB_20210406_air and RB_20210406_water. A2 never saw green or double blink for tuning. A1 good detections but we tuned anyways and got the green light,
Red Barn,5/5/2021,ERF,2.7,13:45,some small sticks cleared,sun w/random rain,14.2,14.1,CR_RB_A1_20210505,CR_RB_A2_20210505,19.1,4.4,162.6,13.8,100,3.4,249.4,25,15,1.26,1.86,1.26,1.9,1.1,1.9,1.26,1.96,0.28,0.4,0.16,0.42,0.12,0.42,0.2,0.4,ok,ok,ok,out of tune/back to original setting,,
Red Barn,6/3/2021,ER,1.35,10:50,none,sunny and warm,14.3,13.9,CR_RB_A1_20210603,CR_RB_A2_20210603,22.4,6,184.7,14.3,100,3.5,280.5,25,14,1.2,1.6,1.2,NA,1.2,1.7,1.3,NA,0.15,0.3,0.2,NA,0.2,0.4,0.2,NA,out of tune/ok,ok,ok,ok,"RB1 = 5038 records in upload. RB2 = 6180 records in upload. Tuned RB1, or tried to. Did not tune RB2",
Red Barn,7/29/2021,"SG, ER",1.6,9:20,none,Sunny and Warm,14.8,14.1,CR_RB_A1_20210729,CR_RB_A2_20210729,14.8,6.6,221.7,14.4,100,3.1,333.9,25,15,1.65,1.9,NA,NA,1.5,1.85,NA,NA,0.2,0.3,NA,NA,0.2,0.3,NA,NA,OK,OK,NA,NA,"May need to replace staff gauge due to corrosion. Tag 230000272103 detected repeatedly in July; appears to be fish, not ghost tag. Did not tune either, both were good.",
Red Barn,8/31/2021,"ER, SG",1.35,12:20,lots of algae,Sunny and warm,14.1,14.1,CR_RB_A1_20210831,CR_RB_A2_20210831,21.8,3.8,242.2,13.7,100,3.1,364.8,25,15,1.2,1.8,NA,NA,1.2,1.85,NA,NA,0.2,0.3,NA,NA,0.15,0.4,NA,NA,ok,In Tune,NA,NA,"Water is turbid, did not tune antennas",
Red Barn,10/6/2021,"SG, KK",1.18,13:30,algae,"Cloudy, Windy, Brisk",13.9,13.6,CR_RB_A1_20211006,CR-RB_A2_20211006,18.6,3.7,263.4,13.8,100,3.2,397.9,25,15,1.1,1.85,NA,NA,1.2,1.8,NA,NA,0.15,0.35,NA,NA,0.15,0.4,NA,NA,NA,NA,NA,NA,NA,
Red Barn,10/21/2021,"SG, KK, ER",1.12,NA,Algae,Sunny and cold,NA,NA,NA,NA,23.8,7,271.6,14.8,100,2.1,411.1,25,15,1.05,1.95,1.1,NA,1,2,1.25,NA,0.1,0.4,0.05,NA,0.05,0.35,0.15,NA,On the edge,In tune,Ok (better),NA,Full suite of detection distances prior to tuning. No data downloads. Only tuned DS antenna (RBr),
Red Barn,11/9/2021,"ER, SG, KK",1.1,9:15,algae and sticks,sunny and cold,14.3,14.6,CR_RB_A1_20211109,CR_RB_A2_20211109,19.3,9.2,283.7,14.5,100,3.4,430,25,15,1.2,1.9,NA,NA,1.25,1.9,NA,NA,0.15,0.4,NA,NA,0.2,0.35,NA,NA,ok,ok,NA,NA,"cleaned debris, added 2 ratchet straps to DS antenna, tightened all straps for winter. Replaced staff gage. Downloaded H20 and Air HOBOS. Replaced marker tag batteries",
Red Barn,11/30/2021,"SG, KK",1.13,9:40,"None, floating ice","sunny, cold",14.5,14.1,CR_RB_A1_20211130,CR_RB_A2_20211130,19.2,7.7,297.4,14.4,100,3.2,450.7,25,15,1.08,1.84,NA,NA,1.13,1.86,NA,NA,0.12,0.41,NA,NA,0.16,0.4,NA,NA,NA,NA,NA,NA,"updated FW from 1.86 to 1.992. Detection distance same before/after update. Initialized reader, changed fields, corrected side code. GPS time correct. All smooth. New ratchet straps in stream held.",
Red Barn,1/10/2022,"SG, KK",ICE,12:15,Ice,"-3F, Frozen over, Deep snow",12,12.3,NA,NA,12.1,4.1,309.7,11.8,35,2.6,484.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solar approximately 75% covered in snow, battery at 32%, after snow clear. Battery back to 65% in 5 minutes. River completely frozen, no detections",
Red Barn,2/3/2022,"KK, SG",ICE,12:20,Ice,"-10F, ton of snow",14.3,14.6,CR_RB_A1_20220203,CR_RB_A2_20220203,20.2,10.9,326.9,14.3,59,2.9,504.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"river frozen. Battery capacity 59% on arrival, solar 90% covered in snow. 100% capacity after five minutes of cleared",
Red Barn,3/11/2022,"KK, MK",ICE,11:10,Ice,"-3F, sunny, snow",14.3,13.7,CR_RB_A1_20220311,CR_RB_A2_20220311,24,3.4,347.3,13.7,100,2.9,534.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"river frozen, battery 100%, solar clear",
Red Barn,4/6/2022,"ER, SI",1.24,10:30,Ice ,"Sunny, Windy",14.2,13.6,CR_RB_A1_20220406,CR_RB_A2_20220406,23.7,3.6,363.9,13.8,100,3.1,557.1,25,15,0.8,0.2,1,1.55,0.5,0.6,1,1.5,None,Touching,0.2,0.25,None,None,0.4,0.45,Out of tune ,Out of tune,OK,OK,change marker tags next time. Reader name on AI was off. Water turbid. Stage stick was damaged by ice and needs to be replaced,
Red Barn,5/3/2022,"ER, MK, SI",0.78,8:40,Sticks,"Overcast, Cool",14.5,14.8,CR_RB_A1_20220503,CR_RB_A2_20220503,14.4,7.6,380.7,14.1,100,3.2,582.5,25,15,1.3,1.7,NA,NA,1.3,1.7,NA,NA,0.4,0.3,NA,NA,0.15,0.35,NA,NA,ok,ok,NA,NA,Looks good,
Red Barn,6/2/2022,"ER, SI, CD, JL",0.9,9:35,Sticks,Clear,14.7,14.3,CR_RB_A1_20220602,CR_RB_A2_20220602,19,6.3,399.2,14.2,100,3.2,610.5,25,15,1.05,1.65,1.05,NA,1.1,1.6,1.15,NA,0.25,0.38,0.2,NA,0.25,0.4,0.3,NA,Almost ok,ok,ok,NA,"Need to repair t joint on RB2, 3rd from RR on DS side. Tuned RB1",
Red Barn,6/28/2022,"SI, CD",1.5,9:54,"Sticks, Algae",Cloudy,14.4,14.6,CR_RB_A1_20220628,CR_RB_A2_20220628,14.8,4.6,413.7,14.5,100,2.9,632.5,25,15,0.95,1.55,NA,NA,1.15,1.5,NA,NA,0.3,0.3,NA,NA,0.3,0.31,NA,NA,Ok,In Tune,NA,NA,All looks good,
Red Barn,8/9/2022,"SI, ER, Others",1.08,13:05,"Algae, Vegetation","clear, sunny",14.6,14.1,CR_RB_A1_20220809,CR_RB_A2_20220809,21.1,3,437.1,13.8,100,3,668.6,25,15,1.09,1.45,NA,NA,1.18,1.45,NA,NA,0.2,0.24,NA,NA,0.2,0.22,NA,NA,OK,OK,NA,NA,"Patched damaged PVC joints and added additional ratchet straps, did not tune. Full suite of detection distances in Eric's notebook.",
Red Barn,8/29/2022,"SI, MK",1.06,17:50,Algae,Clear,13.8,13.4,CR_RB_A1_20220829,CR_RB_A2_20220829,13.6,1.1,447.8,13.3,100,2.7,685.7,25,15,1.1,1.4,NA,NA,1.23,1.66,NA,NA,0.15,0.18,NA,NA,0.16,0.25,NA,NA,ok,ok,NA,NA,Looks good,
Red Barn,10/5/2022,"BH, SI, ER, MK",0.82,13:30,Algae,Clear,14.2,13.9,CR_RB_A1_20221005,CR_RB_A2_20221005,22,3.8,466.6,13.9,100,3,716.6,25,15,1.1,1.61,NA,NA,1.15,1.65,NA,NA,0.1,0.25,NA,NA,0.15,0.21,NA,NA,ok,ok,NA,NA,Changed sd cards on camera,
Red Barn,11/2/2022,"SI, LR",0.9,10:30,"Algae, Sediment",Clear,14.8,15.1,CR_RB_A1_20221102,CR_RB_A2_20221102,23.1,5.9,480.4,14.5,100,2.9,740.1,25,15,1,1.6,NA,NA,0.9,1.5,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,ok,ok,NA,NA,Everything looks good. Tightened two ratchet straps ,
Red Barn,12/1/2022,"SI, BH",ICE,11:00,Ice,"sunny, windy",14.2,14,CR_RB_A1_20221201,CR_RB_A2_20221201,19,6.3,492.9,13.7,100,2.7,762.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River is frozen all the way across. Time is off by 1 hr because of daylight savings, did NOT adjust time on reader. Set camera to time lapse, interval = 30 min",
Red Barn,12/27/2022,"SI, BH",ICE,11:00,Ice,"13F, foggy",13.9,14.4,CR_RB_A1_20221227,CR_RB_A2_20221227,19.7,9,500.8,14.4,100,2.6,781,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Changed camera interval to every hour,
Red Barn,2/1/2023,"ER, BH",ICE,11:30,Ice/snow,"4F, sunny, deep snow",14.2,14.4,CR_RB_A1_20230201,CR_RB_A2_20230201,19.7,14.6,509.4,14.1,100,2.4,805.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solar panels were completely covered in snow (snow has been removed). Camera was buried in snow, was moved higher and SD cards were changed out",
Red Barn,3/7/2023,"MK, BH",ICE,12:25,Ice/snow,sunny/cold,13.9,14.1,CR_RB_A1_20230307,CR_RB_A2_20230307,22.7,3,527.9,13.7,100,2.7,830.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No snow on solar panels. Talked to Randy for about an hour,
Red Barn,4/4/2023,"BH, SI",ICE,12:55,small branches/leaves,"cold, incoming snow",12.9,12.4,CR_RB_A1_20230404,CR_RB_A2_20230404,12.9,1.2,540,12.6,70,2.6,851.5,25,15,1.1,1.3,NA,NA,1.05,1.35,NA,NA,0.25,0.2,NA,NA,0.05,0.2,NA,NA,ok,ok,NA,NA,"Ice off in middle but small amount of shelf ice. Ice pushed staff gage out of water again. Nothing is broken, just needs to be hammered back in. Antenna is in good shape.",
Red Barn,5/4/2023,"BH, SI",almost underwater,10:43,,"cloudy, rainy, about 45 F",14.8,14.6,CR_RB_A1_20230504,CR_RB_A2_20230504,19.3,3.1,554.8,14.4,100,2.6,875.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flows at 1600 cfs. Too deep/fast to do detection distances, but both antennas are working properly. Water is 1.15 feet from bottom of job box.",
Red Barn,5/18/2023,"SI, ER, BH",2.55,10:30,too turbid to see,rainy,NA,NA,No download,No download,14.5,3.5,561.2,14.2,100,2.6,886.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staff gauge had debris, was bent downstream. PIT tag streamer casts; Right bank, 1/3 across, middle of channel, and 2/3 across were all detected by both antennas. River left bank only was detected by upstream antenna. New test tag is 230000088082, but it broke off the rod and will only show up on this antenna. Water has droppped to 3.62 from bottom of job box. ",
Red Barn,6/6/2023,"SI, MK, ER",1.5,16:07,wood/sticks,cloudy,14.1,13.8,CR_RB_A1_20230606,CR_RB_A2_20230606,22.9,2.3,570.4,13.7,100,2.6,901.8,25,15,1.23,1.28,NA,NA,NA,NA,NA,NA,0.22,0.13,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,Downstream marker tag is dead/not functioning. Upstream marker tag is still good. Cleaned debris off river right bank,
Red Barn,6/23/2023,"ER, SI",submerged,12:50,Water,Sunny,13.8,13.9,CR_RB_A1_20230623,CR_RB_A2_20230623,22,2.8,579.3,13.8,100,2.7,915,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staff gauge either gone, bent over, or submerged. Water lapping up against bottom of box but looks dray inside. 2 feet at box. 10 casts with PIT tag fly;Fight bank -loeft bank1nn,2nd,3nn,4nn,5nn,6nn,7nn,8un,9un,10nn. Downstream:1/10. Upstream: 2/10.",
Red Barn,7/25/2023,"MM, SI",Bent/NA,16:58,"sticks, veg",sunny/hot,14.2,13.8,CR_RB_A1_20230725,CR_RB_A2_20230725,22.4,3,594.5,13.9,100,2.7,940.9,25,15,0.7,1.2,NA,NA,0.65,1.25,NA,NA,NA,0.15,NA,NA,NA,touching,NA,NA,out,ok,ok,ran out of time,Neither antenna registering test tags. Turned out to be that 32 mm PVC tag broke. We ran out of time to tune downstream. ,
Red Barn,8/1/2023,"SI, MM",1.22,12:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,Prior to post pound: 0.28. After: 1.22. Just realigining stage.,
Red Barn,8/30/2023,"MM, MK",2.2,12:44,None,Sunny,14.2,13.8,CR_RB_A1_20230830,CR_RB_A2_20230830,21.8,3.4,616.5,13.7,100,3.1,973.5,25,15,1.5,1.4,1.15,1.55,1.15,1.1,1.3,1.7,0.1,0.2,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,RB1 upload has uh and a second up record in text file. Both readers on standby for 50 min. 2:00 - 2:50pm. Tunned both antennas,
Red Barn,10/3/2023,"SI, MM",0.8,16:36,None,Couldy,14.5,14.7,CR_RB_A1_20231003,CR_RB_A2_20231003,19.1,4.4,641.1,14.5,100,3.6,808.8,25,15,1.25,1.95,NA,NA,1.15,1.95,NA,NA,0.3,0.6,NA,NA,0.25,0.5,NA,NA,ok,ok,NA,NA,"Load draw has ""A""08.8? likely 8 if digital screen is malfunctioning. Marker tag for RB1 was dead (Replaced). Camera battery dead",
