General Information,,,,,,,,,,,Solar Power Information,,,,,,,,,Detection Distance,,,,,,,,,,,,,,,,Tuning,,,,Notes,
,,,,,,,Supply Voltage,,Data Downloads,,,,,,,,,,,32mm RR (ft),,,,32mm Center (ft),,,,12mm RR (ft),,,,12mm Center (ft),,Tuning,,,,,,,
Site,Date,Initials,Stage (ft),Time,Debris,Weather,Supply Voltage Downstream,Supply Voltage Upstream,Data Downloads Downstream,Data Downloads Upstream,Solar Voltage (V),Solar Current (A),Solar Input (KwH),Battery Voltage (V),Battery Capacity (percent),Load Current (A),Load Draw (KwH),Operating Temp (C),Load Mode,32mm RR (ft) DS Initial,32mm RR (ft) US Initial,32mm RR (ft) DS Final,32mm RR (ft) US Final,32mm Center (ft) DS Initial,32mm Center (ft) US Initial,32mm Center (ft) DS Final,32mm Center (ft) US Final,12mm RR (ft) DS Initial,12mm RR (ft) US Initial,12mm RR (ft) DS Final,12mm RR (ft) US Final,12mm Center (ft) DS Initial,12mm Center (ft) US Initial,12mm Center (ft) DS Final,12mm Center (ft) US Final,Tuning DS Initial,Tuning US Initial,Tuning DS Final,Tuning US Final,Notes,
Confluence,8/8/2022,"SI, ER, EF, MK",1.05,10:30,sticks,"sunny, calm ",NA,14.4,NA,CR_CF_A6_20220808,20.3,2.6,342.8,14.3,100,0.6,315.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-antenna repair data download for CF6, no detection distances taken. ",
Confluence,8/9/2022,"SI, ER",0.98,11:00,None,clear,13.9,13.7,CR_CF_A5_20220809,CR_CF_A6_20220809,22,3.1,343.1,13.8,100,20.0 ?,315.3,25,15,1.65,1.3,1.75,1.2,1.6,1.25,1.8,1.3,0.45,0.25,0.36,0.32,0.35,0.3,0.45,0.26,OK,OK,Better  ,OK,"Installed repaired CF5 antenna, full suite of detection distance measurements in Eric's notebook",
Confluence,8/30/2022,"SI, MK",1.01,18:15,none,clear,13.8,14.1,CR_CF_A5_20220830,CR_CF_A6_20220830,14.6,1.9,336.5,13.7,100,1.7,327.1,25,15,1.75,1.65,NA,NA,1.74,1.69,NA,NA,0.41,Touching,NA,NA,0.38,0.22,NA,NA,OK,OK,NA,NA,,
Confluence,10/5/2022,"SI, BH",0.8,15:20,Wood,partly cloudy,13.8,14.2,CR_CF_A5_20221005,CR_CF_A6_20221005,18.6,3.3,377.7,13.8,100,1.7,346.2,25,15,1.65,1.3,NA,NA,1.55,1.3,NA,NA,0.25,0.1,NA,NA,0.4,0.25,NA,NA,ok,ok,NA,NA,"A lot of wood on both antennas, no damage however.",
Confluence,11/2/2022,"SI, LR",0.9,12:30,clear,"clear, sunny",13.8,14.1,CR_CF_A5_20221102,CR_CF_A6_20221102,24.1,4.4,393.2,13.8,100,1.7,361.1,25,15,1.5,1.2,NA,NA,1.2,0.8,NA,NA,0.2,Touching,NA,NA,Touching,0.12,NA,NA,ok,ok,NA,NA,"Didn't tune due to time constraints, everything else looks good. Repairs holding up",
Confluence,12/1/2022,"SI, BH",ICE,12:45,ICE,"sunny, breezy",13.9,14.5,CR_CF_A5_20221201,CR_CF_A6_20221201,19.1,5.5,407.8,13.7,100,1.6,375.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Date/time off by one hour because of daylight savings, did NOT adjust time on reader. River partially frozen, too deep to wade. Set camera to time lapse, interval = every 30 min",
Confluence,12/27/2022,"SI, BH",ICE,12:00,ICE,"Foggy, cold",13.9,13.9,CR_CF_A5_20221227,CR_CF_A6_20221227,19.2,3.8,419.4,13.7,100,1.5,388,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Changed camera time lapse interval to every hour,
Confluence,2/1/2023,ER BH,ICE,13:45,ice/snow,"Sunny, cold",14.3,14.1,CR_CF_A5_20230201,CR_CF_A6_20230201,15,16.2 *was recorded wrong,434.4,14.1,100,1.6,404.7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solar panels partially covered in snow. Battery capactiy was at 64%, rose back up to 100% when snow was cleared off. Camera SD card was changed out. Camera was buried in snow on arrival. Moved camera to a higher position and reset.",
Confluence,3/7/2023,"MK, BH",ICE,14:00,ice/snow,"Sunny, cold",13.7,14.2,CR_CF_A5_20230307,CR_CF_A6_20230307,23.2,3.3,452.9,13.7,100,1.6,420.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No snow/ice on solar panels,
Confluence,4/4/2023,"BH, SI  ",0.3,14:20,"sticks, leaves",Snow Storm,13.9,13.9,CR_CF_A5_20230404,CR_CF_A6_20230404,20.8,2.8,468.3,13.7,100,1.6,435.3,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy snow storm so didn't do detection distances. Antennas both look good though.,
