RS_Num,River,RecaptureSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,RBT,297,250,HA,230000142543,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,350,377,HA,230000142568,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,353,365,HA,230000142574,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,268,188,HA,230000142582,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,332,322,HA,230000142682,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,369,412,HA,230000142723,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,304,265,HA,230000142728,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,RBT,325,323,HA,230000224101,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,RBT,330,323,HA,230000224497,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,378,585,HA,230000228630,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,288,210,HA,230000228637,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,383,442,HA,230000228713,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,373,480,HA,230000228760,pass,32,Handheld,Recapture,adp,0,
